*** Config ***
RB DL #0;25
RB UL #0;25
CAPS;1
Max UE;1
Power on duration;20
Power off duration;10
UE;10

*** Scripts ***
UE ID;Name;Type;Start;Stop;Status;Result
UE #3;VOIP #2;voip;1048.412;1053.412;done;48.57954545454545
UE #1;UDP #0;udp;1058.083;1062.083;done;100
UE #1;HTTP transfert #1;http;1063.083;1069.083;done;100
UE #3;UDP #0;udp;1080.047;1084.047;done;100
UE #3;VOIP #2;voip;1092.047;1097.047;done;85.04901960784314
UE #9;HTTP transfert #1;http;1107.228;1113.228;done;100
UE #3;HTTP transfert #1;http;1129.424;1135.424;done;100
UE #7;UDP #0;udp;1144.806;1148.806;done;100
UE #7;HTTP transfert #1;http;1149.806;1155.806;done;100
UE #7;VOIP #2;voip;1156.806;1161.806;done;83.50515463917526
UE #6;UDP #0;udp;1166.477;1170.477;done;100
UE #6;HTTP transfert #1;http;1171.477;1177.477;done;100
UE #6;VOIP #2;voip;1178.477;1183.477;done;92.57294429708223
UE #5;UDP #0;udp;1188.465;1192.465;done;100
UE #5;HTTP transfert #1;http;1193.465;1199.465;done;100
UE #5;VOIP #2;voip;1200.465;1205.465;done;81.75355450236967
UE #4;HTTP transfert #1;http;1216.408;1222.408;done;100
UE #4;VOIP #2;voip;1223.408;1228.408;done;90.14084507042254
UE #5;UDP #0;udp;1230.979;1234.979;done;100
UE #3;UDP #0;udp;1254.086;1258.086;done;100
UE #3;HTTP transfert #1;http;1259.086;1265.086;done;100
UE #8;UDP #0;udp;1277.077;1281.077;done;100
UE #8;HTTP transfert #1;http;1282.077;1288.077;done;100
UE #8;VOIP #2;voip;1289.077;1294.077;done;97.11340206185567
UE #4;UDP #0;udp;1297.174;1301.174;done;100
UE #4;HTTP transfert #1;http;1302.174;1308.174;done;100
UE #3;UDP #0;udp;1317.928;1321.928;done;100
UE #3;VOIP #2;voip;1329.928;1334.928;done;86.45161290322581
UE #6;HTTP transfert #1;http;1341.568;1347.568;done;100
UE #6;VOIP #2;voip;1348.568;1353.568;done;97.11340206185567
UE #5;VOIP #2;voip;1370.076;1375.076;done;64.79289940828401
UE #2;UDP #0;udp;1379.28;1383.28;done;100
UE #2;VOIP #2;voip;1391.28;1396.28;done;71.00591715976331
UE #5;HTTP transfert #1;http;1407.527;1413.527;done;100
UE #5;VOIP #2;voip;1414.527;1419.527;done;66.56716417910448
UE #8;UDP #0;udp;1421.919;1425.919;done;100
UE #8;HTTP transfert #1;http;1426.919;1432.919;done;100
UE #1;UDP #0;udp;1443.264;1447.264;done;100
UE #5;UDP #0;udp;1463.007;1467.007;done;100
UE #5;HTTP transfert #1;http;1468.007;1474.007;done;100
UE #6;HTTP transfert #1;http;1489.338;1495.338;done;100
UE #1;HTTP transfert #1;http;1507.858;1513.858;done;100
UE #1;VOIP #2;voip;1514.858;1519.858;done;53.979238754325266
UE #3;UDP #0;udp;1523.022;1527.022;done;100
UE #8;UDP #0;udp;1541.311;1545.311;done;100
UE #8;VOIP #2;voip;1553.311;1558.311;done;98.3132530120482
UE #5;UDP #0;udp;1561.532;1565.532;done;100
UE #5;HTTP transfert #1;http;1566.532;1572.532;done;100
UE #6;HTTP transfert #1;http;1586.55;1592.55;done;100
UE #6;VOIP #2;voip;1593.55;1598.55;done;75.27593818984548
UE #1;HTTP transfert #1;http;1624.139;1630.139;done;100
UE #1;VOIP #2;voip;1631.139;1636.139;done;62.53687315634219
UE #8;UDP #0;udp;1637.756;1641.756;done;100
UE #8;HTTP transfert #1;http;1642.756;1648.756;done;100
UE #8;VOIP #2;voip;1649.756;1654.756;done;73.01255230125523
UE #1;HTTP transfert #1;http;1660.793;1666.793;done;100
UE #1;VOIP #2;voip;1667.793;1672.793;done;81.93548387096774
UE #9;UDP #0;udp;1679.612;1683.612;done;100
UE #9;HTTP transfert #1;http;1684.612;1690.612;done;100
UE #5;UDP #0;udp;1700.36;1704.36;done;100
UE #5;HTTP transfert #1;http;1705.36;1711.36;done;100
UE #4;UDP #0;udp;1722.727;1726.727;done;100
UE #4;HTTP transfert #1;http;1727.727;1733.727;done;100
UE #4;VOIP #2;voip;1734.727;1739.727;done;25.91240875912409
UE #2;VOIP #2;voip;1754.33;1759.33;done;87.10526315789474
UE #6;UDP #0;udp;1762.58;1766.58;done;100
UE #6;HTTP transfert #1;http;1767.58;1773.58;done;100
UE #6;VOIP #2;voip;1774.58;1779.58;done;75.91743119266054
UE #8;UDP #0;udp;1781.08;1785.08;done;100
UE #8;HTTP transfert #1;http;1786.08;1792.08;done;100

*** Stats ***
Time;#1 DL bitrate;#1 UL bitrate;#1 DL min users / TTI;#1 DL average users / TTI;#1 DL max users / TTI;#1 UL min users / TTI;#1 UL average users / TTI;#1 UL max users / TTI
0.026;0;0;0;0;0;0;0;0
1.130;2331;3880;0;0;1;0;0;1
2.242;388;1512;0;0;1;0;0;1
3.353;259;0;0;0;1;0;0;0
4.461;259;757;0;0;1;0;0;1
5.571;78544;7077;0;0;1;0;0;1
6.683;156270;11650;0;0;1;0;0;1
7.793;78156;6891;0;0;1;0;0;1
8.902;235036;15899;0;0;1;0;0;1
10.014;156241;10995;0;0;1;0;0;1
11.022;257443;18132;0;0;1;0;0;1
12.130;259;960;0;0;1;0;0;1
13.240;389;0;0;0;1;0;0;0
14.347;260;962;0;0;1;0;0;1
15.456;259;0;0;0;1;0;0;0
16.563;260;1835;0;0;1;0;0;1
17.668;260;0;0;0;1;0;0;0
18.777;389;958;0;0;1;0;0;1
19.885;260;0;0;0;1;0;0;0
20.993;259;0;0;0;1;0;0;0
22.022;497;1716;0;0;1;0;0;1
23.131;3513;7473;0;0;1;0;0;1
24.240;16519;16728;0;0;1;0;0;1
25.347;8224;8744;0;0;1;0;0;1
26.456;8953;11638;0;0;1;0;0;1
27.562;86495;6133;0;0;1;0;0;1
28.672;78140;5708;0;0;1;0;0;1
29.782;156356;10037;0;0;1;0;0;1
30.889;78466;5287;0;0;1;0;0;1
31.995;78554;5051;0;0;1;0;0;1
33.027;251934;16488;0;0;1;0;0;1
34.134;260;1777;0;0;1;0;0;1
35.239;8448;31905;0;0;1;0;0;1
36.351;22207;45702;0;0;1;0;0;1
37.461;13290;41081;0;0;1;0;0;1
38.571;41648;40288;0;0;1;0;0;1
39.683;17972;25908;0;0;1;0;0;1
40.793;432;0;0;0;1;0;0;0
41.902;432;0;0;0;1;0;0;0
43.014;648;957;0;0;1;0;0;1
44.021;2738;4253;0;0;1;0;0;1
45.131;259;756;0;0;1;0;0;1
46.242;259;1801;0;0;1;0;0;1
47.353;388;0;0;0;1;0;0;0
48.462;259;0;0;0;1;0;0;0
49.611;250;731;0;0;1;0;0;1
50.718;259;1805;0;0;1;0;0;1
51.830;259;756;0;0;1;0;0;1
52.940;388;0;0;0;1;0;0;0
54.027;397;772;0;0;1;0;0;1
55.133;0;0;0;0;0;0;0;0
56.242;9731;18863;0;0;1;0;0;1
57.350;13039;21566;0;0;1;0;0;1
58.456;4311;15066;0;0;1;0;0;1
59.565;16230;26575;0;0;1;0;0;1
60.675;37976;38279;0;0;1;0;0;1
61.786;2277;2731;0;0;1;0;0;1
62.892;433;0;0;0;1;0;0;0
64.005;647;0;0;0;1;0;0;0
